Phase,resource_utilization,job_id,Owner,expected_duration,Planned Start,Planned End,start_time,end_time,progress
Planning,Admin & User Management,Task 52 - Admin & User Management,UI/UX Designer,4,11-10-2025,15-10-2025,11-10-2025,,In Progress
Testing,Admin & User Management,Task 53 - Admin & User Management,Business Analyst,4,23-08-2025,27-08-2025,23-08-2025,,In Progress
Assessment,Mandate Management,Task 54 - Mandate Management,QA Lead,4,29-04-2025,03-05-2025,29-04-2025,03-05-2025,Done
Planning,Internal Payment Engine,Task 55 - Internal Payment Engine,PMO,2,07-12-2025,09-12-2025,,,Not Started
Deployment,Admin & User Management,Task 56 - Admin & User Management,DevOps Engineer,1,27-10-2025,28-10-2025,27-10-2025,,In Progress
Design,Payment Processing,Task 57 - Payment Processing,DevOps Engineer,3,05-08-2025,08-08-2025,,,Not Started
Deployment,Internal Payment Engine,Task 58 - Internal Payment Engine,PMO,1,05-08-2025,06-08-2025,,,Not Started
Assessment,Integration & Data Migration,Task 59 - Integration & Data Migration,DevOps Engineer,5,02-09-2025,07-09-2025,,,Not Started
Deployment,Customer Payment Portal,Task 60 - Customer Payment Portal,HR,2,13-08-2025,15-08-2025,13-08-2025,15-08-2025,Done
Closure,Payment Processing,Task 61 - Payment Processing,Project Manager,2,11-07-2025,13-07-2025,11-07-2025,,In Progress
Initiation,Customer Payment Portal,Task 62 - Customer Payment Portal,QA Lead,4,14-08-2025,18-08-2025,14-08-2025,18-08-2025,Done
Closure,Reporting & Analytics,Task 63 - Reporting & Analytics,DevOps Engineer,5,22-05-2025,27-05-2025,22-05-2025,27-05-2025,Done
Execution,Internal Payment Engine,Task 64 - Internal Payment Engine,Business Analyst,5,19-09-2025,24-09-2025,19-09-2025,24-09-2025,Done
Initiation,Internal Payment Engine,Task 65 - Internal Payment Engine,Business Analyst,4,25-09-2025,29-09-2025,25-09-2025,,In Progress
Initiation,Payment Processing,Task 66 - Payment Processing,Business Analyst,4,06-12-2025,10-12-2025,,,Not Started
Initiation,Reporting & Analytics,Task 67 - Reporting & Analytics,Security,4,06-07-2025,10-07-2025,06-07-2025,10-07-2025,Done
Execution,Customer Payment Portal,Task 68 - Customer Payment Portal,HR,3,09-04-2025,12-04-2025,09-04-2025,,In Progress
Planning,Internal Payment Engine,Task 69 - Internal Payment Engine,PMO,1,21-08-2025,22-08-2025,21-08-2025,,In Progress
Planning,Reconciliation Service,Task 70 - Reconciliation Service,HR,2,25-06-2025,27-06-2025,25-06-2025,,In Progress
Deployment,Customer Payment Portal,Task 71 - Customer Payment Portal,Business Analyst,2,12-09-2025,14-09-2025,12-09-2025,,In Progress
Execution,Internal Payment Engine,Task 72 - Internal Payment Engine,DevOps Engineer,2,09-06-2025,11-06-2025,,,Not Started
Deployment,Integration & Data Migration,Task 73 - Integration & Data Migration,Business Analyst,5,08-11-2025,13-11-2025,,,Not Started
Planning,Internal Payment Engine,Task 74 - Internal Payment Engine,Project Manager,4,21-10-2025,25-10-2025,21-10-2025,25-10-2025,Done
Assessment,Reconciliation Service,Task 75 - Reconciliation Service,DevOps Engineer,5,01-05-2025,06-05-2025,01-05-2025,,In Progress
Initiation,Payment Processing,Task 76 - Payment Processing,PMO,3,04-11-2025,07-11-2025,,,Not Started
Initiation,Reconciliation Service,Task 77 - Reconciliation Service,Security,3,14-07-2025,17-07-2025,14-07-2025,17-07-2025,Done
Assessment,Payment Processing,Task 78 - Payment Processing,PMO,4,04-09-2025,08-09-2025,04-09-2025,,In Progress
Design,Mandate Management,Task 79 - Mandate Management,UI/UX Designer,3,05-05-2025,08-05-2025,,,Not Started
Deployment,Reporting & Analytics,Task 80 - Reporting & Analytics,Project Manager,5,21-09-2025,26-09-2025,,,Not Started
Deployment,Internal Payment Engine,Task 81 - Internal Payment Engine,PMO,5,27-11-2025,02-12-2025,27-11-2025,,In Progress
Closure,Admin & User Management,Task 82 - Admin & User Management,Project Manager,2,01-10-2025,03-10-2025,,,Not Started
Assessment,Admin & User Management,Task 83 - Admin & User Management,HR,4,11-08-2025,15-08-2025,11-08-2025,15-08-2025,Done
Testing,Admin & User Management,Task 84 - Admin & User Management,Project Manager,1,06-06-2025,07-06-2025,,,Not Started
Initiation,Payment Processing,Task 85 - Payment Processing,DevOps Engineer,2,02-07-2025,04-07-2025,02-07-2025,04-07-2025,Done
Assessment,Reporting & Analytics,Task 86 - Reporting & Analytics,Project Manager,2,07-11-2025,09-11-2025,07-11-2025,09-11-2025,Done
Testing,Customer Payment Portal,Task 87 - Customer Payment Portal,Business Analyst,2,09-09-2025,11-09-2025,,,Not Started
Closure,Reporting & Analytics,Task 88 - Reporting & Analytics,QA Lead,3,06-11-2025,09-11-2025,,,Not Started
Testing,Reporting & Analytics,Task 89 - Reporting & Analytics,UI/UX Designer,4,12-07-2025,16-07-2025,12-07-2025,16-07-2025,Done
Initiation,Admin & User Management,Task 90 - Admin & User Management,DevOps Engineer,3,24-05-2025,27-05-2025,24-05-2025,27-05-2025,Done
Assessment,Reporting & Analytics,Task 91 - Reporting & Analytics,Business Analyst,5,30-10-2025,04-11-2025,30-10-2025,,In Progress
Deployment,Admin & User Management,Task 92 - Admin & User Management,UI/UX Designer,4,19-07-2025,23-07-2025,,,Not Started
Testing,Integration & Data Migration,Task 93 - Integration & Data Migration,Project Manager,5,26-10-2025,31-10-2025,26-10-2025,,In Progress
Testing,Customer Payment Portal,Task 94 - Customer Payment Portal,PMO,5,11-12-2025,16-12-2025,11-12-2025,,In Progress
Design,Admin & User Management,Task 95 - Admin & User Management,PMO,3,06-06-2025,09-06-2025,,,Not Started
Planning,Mandate Management,Task 96 - Mandate Management,Security,4,19-10-2025,23-10-2025,19-10-2025,23-10-2025,Done
Deployment,Payment Processing,Task 97 - Payment Processing,PMO,4,16-08-2025,20-08-2025,,,Not Started
Initiation,Integration & Data Migration,Task 98 - Integration & Data Migration,Project Manager,1,22-10-2025,23-10-2025,22-10-2025,,In Progress
Testing,Customer Payment Portal,Task 99 - Customer Payment Portal,UI/UX Designer,4,02-11-2025,06-11-2025,02-11-2025,06-11-2025,Done
Execution,Admin & User Management,Task 100 - Admin & User Management,HR,2,25-08-2025,27-08-2025,25-08-2025,,In Progress
